client,label_skew,homophily,largest_component_size,avg_degree,std_degree,loss,accuracy,client_id,num_samples,local_epochs,learning_rate,fit_duration,num_params
client_9,11.408190753285892,0.96875,99,6.4646464646464645,5.2633920224588495,0.041388075798749924,0.95,client_9,79,3,0.01,0.1403353214263916,92231
client_7,6.247128595002199,0.9536082474226805,112,6.928571428571429,4.008282241885199,0.04714595526456833,1.0,client_7,89,3,0.01,0.13406777381896973,92231
client_5,7.882329431708232,0.93359375,131,7.816793893129771,6.633021172403304,0.039632730185985565,0.9259259259259259,client_5,104,3,0.01,0.1473548412322998,92231
client_3,3.7620404879326617,0.6,165,6.666666666666667,6.003366059170809,0.3855246305465698,0.696969696969697,client_3,132,3,0.01,0.13228201866149902,92231
client_4,3.9382603584904325,0.7046413502109705,153,6.196078431372549,6.446419509354053,0.2512853741645813,0.8064516129032258,client_4,122,3,0.01,0.14634299278259277,92231
client_1,2.166983952079415,0.8167006109979633,227,8.651982378854626,12.414200091491349,0.24150142073631287,0.782608695652174,client_1,181,3,0.01,0.1376028060913086,92231
client_2,0.42923597048109097,0.6121794871794872,189,6.603174603174603,5.951851828334183,0.3350503444671631,0.8157894736842105,client_2,151,3,0.01,0.0557703971862793,92231
client_8,6.459999373199401,0.7682926829268293,102,6.431372549019608,5.413327424272773,0.24254226684570312,0.8571428571428571,client_8,81,3,0.01,0.1343076229095459,92231
client_6,3.9412281502421544,0.8628571428571429,115,6.086956521739131,7.461862708805768,0.14254137873649597,0.9130434782608695,client_6,92,3,0.01,0.1370854377746582,92231
client_0,5.9602936522018695,0.9581151832460733,379,8.063324538258575,14.854659122799463,0.06467249244451523,0.9868421052631579,client_0,303,3,0.01,0.1454620361328125,92231
