client,label_skew,homophily,largest_component_size,avg_degree,std_degree,loss,accuracy,client_id,num_samples,local_epochs,learning_rate,fit_duration,num_params
client_6,5.039646426693624,0.037037037037037035,14,3.857142857142857,3.4611546970244906,0.5254877209663391,0.0,client_6,11,3,0.01,0.024625539779663086,109381
client_3,0.1123685419640091,0.25806451612903225,22,2.8181818181818183,2.1874926210029026,0.7145284414291382,0.6,client_3,17,3,0.01,0.023128032684326172,109381
client_0,0.07138007585415483,0.13793103448275862,47,2.4680851063829787,5.782773625282901,0.397970974445343,0.3,client_0,37,3,0.01,0.02510523796081543,109381
client_4,0.9389107023045722,0.10344827586206896,16,3.625,2.7128168017763383,1.0344860553741455,0.5,client_4,12,3,0.01,0.02510380744934082,109381
client_8,6.609389814175352,0.3333333333333333,13,4.153846153846154,2.475919529143243,0.8309419751167297,0.6666666666666666,client_8,10,3,0.01,0.026196956634521484,109381
client_2,0.014815332635872043,0.23404255319148937,26,3.6153846153846154,2.9881422460853897,0.5524027943611145,0.5,client_2,20,3,0.01,0.02610468864440918,109381
client_7,2.4471130540376205,0.0,14,2.2857142857142856,1.1605769149479945,2.523725748062134,0.6666666666666666,client_7,11,3,0.01,0.02514505386352539,109381
client_1,5.027676244910159,0.3888888888888889,33,3.272727272727273,2.5017899927939746,0.058500804007053375,0.2857142857142857,client_1,26,3,0.01,0.027150392532348633,109381
client_5,2.4283466757688257,0.0,16,4.5,3.142451272494134,1.2447375059127808,0.25,client_5,12,3,0.01,0.027150392532348633,109381
client_9,5.946763330378008,0.09090909090909091,13,3.3846153846153846,2.558198330510137,2.77913236618042,0.3333333333333333,client_9,10,3,0.01,0.02510547637939453,109381
