client,label_skew,homophily,largest_component_size,avg_degree,std_degree,loss,accuracy,client_id,num_samples,local_epochs,learning_rate,tau,fit_duration,num_params
client_6,5.190031031846044,0.16,11,4.545454545454546,2.8400907912387834,0.6461499929428101,0.3333333333333333,client_6,8,3,0.01,3,0.020009517669677734,109381
client_4,3.7167771065729336,0.25,14,2.2857142857142856,1.2777531299998799,0.1044812947511673,0.0,client_4,11,3,0.01,3,0.020009517669677734,109381
client_1,1.8064366566950047,0.10714285714285714,20,2.8,1.7492855684535902,1.62501060962677,0.25,client_1,16,3,0.01,3,0.01900029182434082,109381
client_2,1.9701421143103828,0.05555555555555555,15,2.4,1.3564659966250538,0.758251428604126,0.0,client_2,12,3,0.01,3,0.020001888275146484,109381
client_0,0.03807473740393401,0.1746031746031746,57,2.210526315789474,6.579438578153417,0.27181971073150635,0.25,client_0,45,3,0.01,3,0.01800680160522461,109381
client_9,6.088449240344362,0.09090909090909091,7,3.142857142857143,1.355261854357877,2.2982935905456543,0.5,client_9,5,3,0.01,3,0.018999814987182617,109381
client_8,7.880992234441307,0.0,7,2.857142857142857,1.124858267715973,0.6906825304031372,0.5,client_8,5,3,0.01,3,0.01900315284729004,109381
client_5,5.180992430146619,0.14285714285714285,12,3.5,2.661453237111885,0.5482043027877808,0.6666666666666666,client_5,9,3,0.01,3,0.01600480079650879,109381
client_7,4.539353991982494,0.15384615384615385,10,2.6,1.854723699099141,1.1297788619995117,0.0,client_7,8,3,0.01,3,0.01800680160522461,109381
client_3,0.1847131065522355,0.125,15,2.1333333333333333,1.5434449203720302,0.5795312523841858,0.3333333333333333,client_3,12,3,0.01,3,0.01600170135498047,109381
