client,label_skew,homophily,largest_component_size,avg_degree,std_degree,loss,accuracy,client_id,num_samples,local_epochs,learning_rate,mu,fit_duration,num_params
client_0,1.253703490280915,0.7692415337251609,2012,14.20675944333996,19.284956230567285,0.3953212797641754,0.8635235732009926,client_0,1609,3,0.01,0.01,0.6835441589355469,32259
client_4,0.7404686374108617,0.9189536878216124,1362,6.848751835535976,12.221969424819953,0.270680695772171,0.9230769230769231,client_4,1089,3,0.01,0.01,0.822321891784668,32259
client_9,0.5771487996099588,0.8028673835125448,907,7.38257993384785,11.269097218016233,0.416847825050354,0.8846153846153846,client_9,725,3,0.01,0.01,0.8188056945800781,32259
client_2,0.5390380542684369,0.8862478777589134,1557,6.052665382145151,9.15153529340855,0.2990961968898773,0.8621794871794872,client_2,1245,3,0.01,0.01,0.8309173583984375,32259
client_3,0.5975229993500939,0.8897935446350683,1396,9.853868194842407,15.021908287234258,0.31322771310806274,0.9035714285714286,client_3,1116,3,0.01,0.01,0.8380842208862305,32259
client_1,0.6750955266866985,0.8196953595465817,1593,7.088512241054614,11.049978334888882,0.3935534954071045,0.8526645768025078,client_1,1274,3,0.01,0.01,0.7353515625,32259
client_5,0.39650159716885347,0.7336515513126491,1244,6.736334405144695,10.101952856511598,0.4882221519947052,0.8755020080321285,client_5,995,3,0.01,0.01,0.825880765914917,32259
client_6,0.0036851660653708686,0.7335064935064936,1202,6.405990016638935,9.014403194424322,0.4657927453517914,0.8008298755186722,client_6,961,3,0.01,0.01,0.8664836883544922,32259
client_7,0.2461456707508261,0.7859778597785978,1086,7.985267034990792,10.375268275062629,0.38899171352386475,0.8807339449541285,client_7,868,3,0.01,0.01,0.845409631729126,32259
client_8,1.0642101225551635,0.9699630314232902,930,9.30752688172043,14.649233798152492,0.15479832887649536,0.946236559139785,client_8,744,3,0.01,0.01,0.6792881488800049,32259
