client,label_skew,homophily,largest_component_size,avg_degree,std_degree,loss,accuracy,client_id,num_samples,local_epochs,learning_rate,mu,fit_duration,num_params
client_3,4.580548930863219,0.8543063434760185,1439,97.01737317581654,149.04970829394168,0.5811647772789001,0.9305555555555556,client_3,1151,3,0.01,0.01,3.3378729820251465,49802
client_4,6.788233859693307,0.7091624508150647,1333,53.383345836459114,51.35914984962754,2.020379066467285,0.6554307116104869,client_4,1066,3,0.01,0.01,3.223299741744995,49802
client_7,5.844092805753289,0.8192903304475064,805,40.75031055900621,33.81239458917194,1.7604261636734009,0.42857142857142855,client_7,644,3,0.01,0.01,3.297086477279663,49802
client_1,5.79406001689728,0.9273827910916247,1603,100.16718652526512,142.24278576544813,0.45235079526901245,0.9470404984423676,client_1,1282,3,0.01,0.01,3.06019926071167,49802
client_0,1.7884484936334533,0.7199762970766395,1653,36.75257108287961,53.38148046927785,1.9064781665802002,0.716012084592145,client_0,1322,3,0.01,0.01,3.136787176132202,49802
client_5,2.159585096000168,0.6493109816735332,1141,49.353198948290974,67.42244976014892,2.1775314807891846,0.43231441048034935,client_5,912,3,0.01,0.01,3.3024001121520996,49802
client_8,4.255661813859261,0.9662406223951098,780,36.91282051282051,36.6541366433633,0.6308070421218872,0.9230769230769231,client_8,624,3,0.01,0.01,3.280907392501831,49802
client_9,8.11810500381765,0.9986975397973951,746,37.05093833780161,44.4846580828666,0.10512706637382507,0.9866666666666667,client_9,596,3,0.01,0.01,3.079179048538208,49802
client_6,3.563415111299788,0.7953344268270457,961,45.67741935483871,50.80521247848877,3.500352382659912,0.694300518134715,client_6,768,3,0.01,0.01,2.7357654571533203,49802
client_2,3.868240003780773,0.9360089067967342,1472,51.255434782608695,35.18275227181154,0.8004477620124817,0.9220338983050848,client_2,1177,3,0.01,0.01,3.197788715362549,49802
